DateTime,High,Open,Close,Low,iMACD_1,iMACD_2,RSI,Bear,Bull,Stohastic_1,Stohastic_2,Bollindg_h_h,Bollindg_l_h,Bollindg_h_m,Bollindg_l_m,Bollindg_h_l,Bollindg_l_l,Digits
2024.12.30 23:00,173.831,173.822,173.56,173.538,-0.53987354,-0.44197059,29.19022937,-0.49698289,-0.20398289,71.19651347,57.89551123,176.0573495,175.9334435,174.90477778,174.64030556,173.75220605,173.34716761,3
2024.12.30 22:00,173.836,173.714,173.823,173.664,-0.530863,-0.39300709,33.06881727,-0.45014671,-0.27814671,61.17374964,43.89462606,176.06337486,175.9458634,174.95202778,174.68966667,173.8406807,173.43346994,3
2024.12.30 21:00,173.753,173.676,173.715,173.623,-0.55279151,-0.34148622,29.49667235,-0.53967116,-0.40967116,41.31627057,30.99606624,176.05459126,175.94816501,174.99730556,174.73158333,173.94001985,173.51500166,3
2024.12.30 20:00,173.742,173.512,173.674,173.512,-0.55297917,-0.28637221,28.14480475,-0.72528302,-0.49528302,29.19385797,22.14844142,176.0278328,175.95187445,175.04580556,174.77919444,174.06377831,173.60651444,3
2024.12.30 19:00,173.537,173.429,173.515,173.237,-0.53520292,-0.23260974,22.81533299,-1.09416352,-0.79416352,22.47807018,15.88619699,175.97971085,175.92998254,175.0935,174.82808333,174.20728915,173.72618413,3
2024.12.30 18:00,173.766,173.765,173.428,173.032,-0.47347093,-0.17793154,19.79275848,-1.43519078,-0.70119078,14.77339612,9.19995855,175.86482021,175.85404472,175.14577778,174.88416667,174.42673534,173.91428861,3
2024.12.30 17:00,174.153,173.872,173.768,173.417,-0.36587332,-0.13125179,23.0714086,-1.22338924,-0.48738924,10.40712468,8.45760011,175.74602117,175.69943223,175.19233333,174.94786111,174.6386455,174.19628999,3
2024.12.30 16:00,174.566,174.479,173.873,173.867,-0.27109908,-0.09783353,24.22200924,-0.91878745,-0.21978745,2.41935484,15.13097579,175.67167816,175.54942991,175.23094444,174.99844444,174.79021073,174.44745897,3
2024.12.30 15:00,174.753,174.75,174.477,174.425,-0.15558188,-0.07612999,33.01743284,-0.51291869,-0.18491869,12.5463208,24.10230196,175.66923122,175.46700041,175.26241667,175.04336111,174.85560211,174.61972181,3
2024.12.30 14:00,174.987,174.95,174.748,174.743,-0.09920202,-0.06721873,38.90282495,-0.27173847,-0.02773847,30.42725173,30.9969914,175.68842869,175.46024399,175.28980556,175.0715,174.89118242,174.68275601,3
2024.12.30 13:00,175.213,175.11,174.949,174.949,-0.06717516,-0.06478081,44.34709072,-0.11019488,0.15380512,29.33333333,29.22919081,175.72636538,175.49649425,175.31147222,175.09380556,174.89657907,174.69111686,3
2024.12.30 12:00,175.119,174.867,175.111,174.769,-0.05676541,-0.06595512,49.5351634,-0.30856069,0.04143931,33.23038913,33.77086978,175.75792341,175.54477356,175.32508333,175.11197222,174.89224326,174.67917089,3
2024.12.30 11:00,175.195,175.138,174.868,174.862,-0.06911693,-0.0681291,39.71127034,-0.20998748,0.12301252,25.12384996,34.92775038,175.79158758,175.58448533,175.34263889,175.13577778,174.8936902,174.68707022,3
2024.12.30 10:00,175.147,175.133,175.14,174.95,-0.04309915,-0.0714203,49.78444522,-0.15598539,0.04101461,42.95837024,38.12176117,175.8184615,175.62408826,175.35686111,175.15705556,174.89526072,174.69002286,3
2024.12.30 09:00,175.4,175.112,175.134,175.094,-0.05335316,-0.07928944,49.52217384,-0.00631629,0.29968371,36.70103093,36.29827866,175.84192214,175.65819354,175.37230556,175.175,174.90268897,174.69180646,3
2024.12.30 08:00,175.208,175.034,175.111,175.021,-0.06510901,-0.08360478,48.56595967,-0.07370233,0.11329767,34.70588235,39.64645573,175.87132057,175.69203387,175.38288889,175.18927778,174.89445721,174.68652168,3
2024.12.30 07:00,175.09,175.055,175.033,175.015,-0.07576723,-0.08554839,45.30309252,-0.07698606,-0.00198606,37.48792271,49.16109834,175.8865931,175.71005247,175.39483333,175.20194444,174.90307357,174.69383642,3
2024.12.30 06:00,175.078,175.054,175.056,175.016,-0.07538048,-0.08661241,46.10391284,-0.08581707,-0.02381707,46.74556213,59.92392647,175.89147153,175.72701469,175.40788889,175.21488889,174.92430625,174.70276308,3
2024.12.30 05:00,175.099,175.052,175.053,174.975,-0.07726076,-0.09005659,45.98827392,-0.13445324,-0.01045324,63.24981017,63.7886921,175.89166923,175.73173984,175.42002778,175.22313889,174.94838632,174.71453794,3
2024.12.30 04:00,175.229,175.205,175.05,175.012,-0.07774392,-0.09292398,45.88044971,-0.10686212,0.11013788,69.77640709,57.78790437,175.88713629,175.73079212,175.42788889,175.22891667,174.96864149,174.72704121,3
2024.12.30 03:00,175.263,175.136,175.202,174.972,-0.07633131,-0.09308538,50.63629601,-0.15833914,0.13266086,58.33985904,50.77028849,175.88758906,175.73061845,175.42733333,175.22916667,174.96707761,174.72771489,3
2024.12.30 02:00,175.148,175.004,175.125,174.958,-0.09873766,-0.09044044,48.10594846,-0.16039566,0.02960434,45.24744698,55.23812117,175.8927936,175.73056046,175.42266667,175.22922222,174.95253973,174.72788399,3
